study_word,test_words,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
,t_g_r,tiger,"[0.011111111111111112, 0.07592592592592592]","[-0.33611111111111114, -0.2898148148148148]","[1, 1]","[0, 0]","[0, 0]","[3.975797999999486, 5.114998899982311]",['text_3'],576123,1,2022-10-20_19h45.51.352,tutorial5,2022.2.4,60.04141658
,c_sh__n,cushion,[0.07592592592592592],[-0.2898148148148148],[1],[0],[0],[3.5854467999888584],['text_3'],576123,1,2022-10-20_19h45.51.352,tutorial5,2022.2.4,60.04141658
,c_m_r_,camera,[0.07592592592592592],[-0.2898148148148148],[1],[0],[0],[2.9257674999535084],['text_3'],576123,1,2022-10-20_19h45.51.352,tutorial5,2022.2.4,60.04141658
,_o_s_,po,[],[],[],[],[],[],[],576123,1,2022-10-20_19h45.51.352,tutorial5,2022.2.4,60.04141658
,p_a_o,plato,[],[],[],[],[],[],[],576123,1,2022-10-20_19h45.51.352,tutorial5,2022.2.4,60.04141658
,_p__ad,app,[],[],[],[],[],[],[],576123,1,2022-10-20_19h45.51.352,tutorial5,2022.2.4,60.04141658
,_oo_,book,[0.07592592592592592],[-0.2898148148148148],[1],[0],[0],[4.133975300006568],['text_3'],576123,1,2022-10-20_19h45.51.352,tutorial5,2022.2.4,60.04141658
,v_ _e,vase,[0.07592592592592592],[-0.2898148148148148],[1],[0],[0],[2.8585603999672458],['text_3'],576123,1,2022-10-20_19h45.51.352,tutorial5,2022.2.4,60.04141658
,o_an_e,orange,[0.07592592592592592],[-0.2898148148148148],[1],[0],[0],[2.991158900083974],['text_3'],576123,1,2022-10-20_19h45.51.352,tutorial5,2022.2.4,60.04141658
,_ea_o_,teapot,[0.07592592592592592],[-0.2898148148148148],[1],[0],[0],[2.72742000001017],['text_3'],576123,1,2022-10-20_19h45.51.352,tutorial5,2022.2.4,60.04141658
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,proportion of hit from study test,,,,4,0.8,,,,,,
,,,,proportion of hit for non primed words,,,,2,0.4,,,,,,
,,,,priming score,,,,,0.4,,,,,,
